tumour_id	intercept	del.mh.prop	SNV3	SV3	SV5	hrd	SNV8	Probability
2020_002T	-3.364	-3.2956332291995905	1.3175785165762066	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	8.257550086217231e-5
2020_003T	-3.364	-0.31910268329353825	2.38504978342548	-0.8767531683765842	-1.1051550910316925	1.0113538777158149	0.06431601360236097	0.09936579318063417
2020_005T	-3.364	-3.6258526702445275	1.7339555266086784	-0.8767531683765842	-1.1051550910316925	-0.22152390744014128	0.016078823531102845	5.850368653536746e-4
2020_006T	-3.364	-2.9882854248260986	1.5581941596216764	-0.8767531683765842	-1.1051550910316925	-0.5207598832086068	-0.1256653035545769	5.973411119365443e-4
2020_007T	-3.364	-2.137318685926656	1.7436317639873775	-0.8767531683765842	-1.1051550910316925	-0.5207598832086068	-0.1256653035545769	0.001682114075262991
2020_008T	-3.364	-2.9381526795323794	1.6703738823518457	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	1.6798984433648734e-4
2020_009T	-3.364	-3.1960701790868984	1.9941999898468237	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	1.7943278665628616e-4
2020_012T	-3.364	-2.2058008646621876	1.7726661975509126	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	0.03608360864624902	4.548690616210957e-4
2020_013T	-3.364	-3.076133321992045	-0.9498329113924051	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	1.0653339824664513e-5
2020_014T	-3.364	-2.3628561618594883	2.1882388191030446	-0.8767531683765842	-1.1051550910316925	-0.9750541379444942	-0.1256653035545769	0.0013300005417187504
2020_015T	-3.364	-3.15014192577344	1.419392462263008	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	1.0574125484212577e-4
2020_017T	-3.364	-2.438389058137016	2.03319575201427	-0.8767531683765842	-1.1051550910316925	-0.22152390744014128	0.038196758801791124	0.002639747653730673
2020_018T	-3.364	4.7492015995145485	2.746316793130432	-0.8767531683765842	-1.1051550910316925	0.2578236472114618	0.11633655828865778	0.9257914993335188
2020_019T	-3.364	-1.7012296641581608	1.6573110707895582	-0.8767531683765842	-1.1051550910316925	-1.3356477740886885	-0.1256653035545769	0.0010571299688342036
2020_021T	-3.364	-2.0446928016573174	1.7663816472146747	-0.8767531683765842	-1.1051550910316925	-0.7192088815107105	-0.1256653035545769	0.001548229856820651
2020_022T	-3.364	-2.8837104734151233	1.8767762643893242	-0.8767531683765842	-1.1051550910316925	0.45627264551356567	-0.1256653035545769	0.002418382289456036
2020_023T	-3.364	-3.8580248572459865	1.4952334390205895	-0.8767531683765842	-1.1051550910316925	-0.5207598832086068	0.03616310041813	2.764244743576341e-4
2020_024T	-3.364	-3.117314463636537	-0.9498329113924051	-0.8767531683765842	-1.1051550910316925	-0.35861524536651634	0.022062397381483016	5.83140908533672e-5
2020_027T	-3.364	-2.3091140784168167	1.4213742461556766	-0.8767531683765842	-1.1051550910316925	-0.7192088815107105	0.02899899861797116	9.830589039423235e-4
2020_028T	-3.364	-1.5979965073367677	1.7023060509068704	-0.8767531683765842	-1.1051550910316925	0.5136689036452455	-0.1256653035545769	0.0077399106531473106
2020_029T	-3.364	-2.6578412138505825	1.4665980430798748	-0.8767531683765842	-1.1051550910316925	-1.9520866666666665	-0.1256653035545769	1.81349442521312e-4
2020_030T	-3.364	-0.43324818803074466	1.9731815033826097	-0.8767531683765842	-1.1051550910316925	0.0019783907776780747	-0.1256653035545769	0.019271622575469223
2020_032T	-3.364	-2.214753658893232	2.2701579251290003	-0.8767531683765842	-1.1051550910316925	0.2578236472114618	0.06568188520679095	0.006915857308639117
2020_033T	-3.364	-2.080656104866266	1.8342838074817414	-0.8767531683765842	-1.1051550910316925	0.5136689036452455	-0.1256653035545769	0.0054630122578195476
2020_034T	-3.364	-1.6326114329692436	1.875335957383589	-0.8767531683765842	-1.1051550910316925	0.18044152927535115	-0.1256653035545769	0.006378600646314042
2020_035T	-3.364	-2.6327770622027358	-0.9498329113924051	-0.8767531683765842	-1.1051550910316925	-0.5207598832086068	0.03241153862837009	8.133387880277e-5
2020_037T	-3.364	-1.8168239645297015	1.6999249370961362	-0.8767531683765842	-1.1051550910316925	0.09567900936937164	-0.1256653035545769	0.00409945409817817
