sample	Signature_1	Signature_2	Signature_3	Signature_5	Signature_6	Signature_8	Signature_13	Signature_17	Signature_18	Signature_20	Signature_26	Signature_30	unassigned
2020_118T2	610.026478512725	0	633.4361615922946	0	0	0	0	0	0	0	310.1850873421363	0	376.35227255284417
2020_120T	261.56153287744246	0	514.6707321223217	223.26357718665435	0	0	0	0	0	0	158.43209665710197	0	56.07206115647955
2020_122T	505.6727995230256	0	239.1074220026568	0	0	261.62193551537536	0	0	0	0	145.62467050024895	0	279.97317245869317
2020_123T	279.1034719970955	0	289.93704764099084	199.29586615903824	0	0	0	0	0	0	129.660737371839	0	93.00287683103647
2020_126T	278.9912980829346	0	170.54358434375993	377.4657199286979	0	0	0	0	0	0	0	0	203.9993976446076
2020_127T	365.8801084812907	0	1459.7215656201492	1552.524895196103	0	0	0	0	0	0	1938.207654743642	0	124.66577595881517
2020_128T	306.53154787813935	115.35556421939472	471.3550793785213	228.2668648034268	0	0	127.76618640663948	0	0	0	0	0	170.7247573138784
2020_130T	640.5640870091278	0	0	0	0	188.66936399445171	0	0	366.97971450043065	0	188.44396188810455	0	434.3428726078853
2020_131T	377.542189442372	0	272.6870860660319	429.1140261329542	0	0	0	0	0	0	188.97664177030066	0	234.68005658834136
2020_132T	291.30115276163497	0	391.992917509525	320.5243141068168	0	0	0	0	0	0	0	0	168.18161562202317
2020_133T	475.30207531810845	0	0	478.2875894885942	0	316.96958136440537	149.94038268047734	0	0	0	269.84627953913923	0	414.6540916092754
2020_134T	848.1309843755121	0	565.8328110291571	0	0	0	0	0	0	0	281.45392413619857	0	643.5822804591321
2020_135T	219.0883934733253	0	337.2960323439148	297.2262864626942	0	0	0	0	0	0	0	0	234.38928772006568
2020_136T	396.24395425265595	0	323.78449689377646	433.7304134487274	0	0	0	0	0	0	281.36752349329174	0	139.87361191154832
2020_139T	0	0	2737.827502410012	0	0	0	253.22398421607966	0	0	0	305.7396368280914	0	641.2088765458166
2020_141T	235.4359100315644	0	176.68523669478066	0	0	253.02983052322105	0	0	0	0	204.12233005439344	0	304.72669269604046
2020_142T	604.0551222210465	350.5902097339372	558.3195071667458	384.92892913652906	0	0	0	0	0	0	0	0	262.10623174174134
2020_143T	232.61145804775498	0	0	323.5885552936294	0	0	0	0	0	0	0	0	391.7999866586156
2020_146T	269.30573959517983	0	0	267.1208428082697	0	0	0	0	0	0	0	0	323.5734175965505
2020_148T	525.146408853469	0	1127.1439624406012	700.7281833324377	0	0	0	0	0	0	598.6696091989674	0	178.31183617452461
2020_149T	371.5397301268473	0	715.4072023401736	381.74890321964625	0	0	138.19821453880127	0	0	0	265.9499318074811	0	232.1560179670505
2020_150T	459.3286765781871	179.0840263614654	388.3944387560383	0	0	0	399.61652297480657	0	164.6921799287831	0	0	0	593.8841554007195
2020_153T	468.9753270265887	0	3308.5941644404493	0	0	913.2965167985964	0	0	0	0	1259.8325734076911	0	463.30141832667414
2020_154T	663.8258578641921	0	5899.761684870906	0	0	0	0	0	0	0	2515.6713536927014	0	1060.7411035721998
2020_155T	166.54511212299127	0	277.15733827530636	0	0	0	0	0	0	0	0	0	278.29754960170237
2020_156T	721.1507757012578	0	939.1191623211666	0	0	1745.7265182940391	273.5813151588452	0	0	0	0	0	628.4222285246915
2020_159T	547.3934860080349	0	1040.5364603006174	674.3159895406656	0	316.1913645882697	0	0	0	0	642.9034089767533	0	29.659290585659164
2020_160T	614.0415435447223	0	1075.4405733063745	669.693988581404	0	0	0	0	0	0	724.3897074662509	0	367.4341871012484
2020_161T	405.7663543156134	0	1107.0640088695375	448.67293962952124	0	0	0	0	0	0	899.1015978301552	0	215.39509935517253
2020_168T	666.1826567466327	0	988.0764764781093	0	0	0	0	0	0	0	330.5664407308197	0	574.1744260444384
2020_169T	292.97276262418245	0	466.07107666341517	235.9398571997445	0	0	0	0	0	0	133.23644662700116	0	63.77985688565673
2020_170T	248.37215845323993	0	232.59996851660424	0	0	127.9760338608287	0	0	0	0	0	0	337.0518391693272
2020_173T	517.7603462157055	0	1293.546949116765	685.4167477831559	0	0	0	0	0	0	731.4058645878035	0	77.87009229656996
2020_174T	0	0	1160.8408696435854	0	0	1358.4243450566964	244.91355557687888	0	265.48454044994185	0	0	0	620.3366892728973
2020_176T	521.9130663970786	0	511.7053552739143	590.8668900426668	0	262.33975271935896	0	0	0	0	301.3926684809349	0	62.78226708604643
2020_177T	511.88240307854676	0	342.83040157632314	0	0	452.6078556014245	159.92046545218773	0	401.7244080279311	0	303.77563469671264	0	267.25883156687405
2020_179T	594.7173284794351	1711.3307366030426	0	0	0	0	2166.0511899987387	0	0	0	0	0	670.9007449187839
2020_182T	508.64546428157115	0	0	1278.049161695145	0	293.24018878747864	0	0	0	0	0	0	417.0651852358051
2020_183T	343.04096085526965	0	0	0	0	0	0	0	0	0	0	0	480.95903914473035
2020_184T	324.35894673641803	0	281.48330147793973	485.93041643058564	0	0	0	0	0	0	0	0	274.22733535505654
2020_186T	337.30512278367587	0	218.05145450015112	475.6896950044634	0	0	0	0	0	0	0	0	303.9537277117097
2020_187T	345.5387343845026	0	282.50486539603367	431.8226472653006	0	201.00997374783327	0	0	0	0	152.08756937375787	0	138.036209832572
2020_188T	830.7491011338047	0	380.57960077261816	434.9505067801862	0	0	0	0	0	0	0	0	429.7207913133909
2020_189T	505.1095402810031	0	1983.777697775769	0	0	0	1159.0703168809996	0	0	0	0	0	1182.0424450622286
2020_191T	366.7524257135796	0	318.7440263340379	316.09803312281304	0	0	0	0	0	0	0	0	282.4055148295695
2020_192T	670.0470970820004	0	1789.505616283584	682.9284468960801	0	0	0	0	0	0	715.4931382981722	0	330.0257014401632
2020_193T	974.0737776090104	302.55965148074404	877.0463632723902	597.4794656700756	0	0	0	0	0	0	0	0	581.8407419677796
2020_200T	531.4691007412663	0	822.4299365093509	414.44116708687295	0	0	263.24226742067924	0	0	0	0	0	449.4175282418305
